filename,method,nr_fuzzy_free,nr_fuzzy_mono
10.png,clahe,51.07537909079516,50.62290971185426
10.png,gamma,52.42963682345761,52.685075145613055
10.png,log,80.33664830331708,73.57617086338087
10.png,retinex,25.305433568410994,24.68862259888702
10.png,hist_eq,59.72003951545653,65.05366767974272
100.png,clahe,41.94595190989418,42.25453668940975
100.png,gamma,53.44761486464708,54.20066504973963
100.png,log,60.664273273992684,61.57881623154653
100.png,retinex,54.22030024455378,42.95605574860609
100.png,hist_eq,25.792434168391157,36.99572797800094
101.png,clahe,64.43124577151653,61.8452577634072
101.png,gamma,69.37935220513224,65.28616928187618
101.png,log,64.34796576559833,62.425866428607996
101.png,retinex,4.980167982446691,20.810651885054046
101.png,hist_eq,56.87368715486731,53.61720009729842
102.png,clahe,64.43524207818577,61.87591770999292
102.png,gamma,69.50388378234142,65.64324236167427
102.png,log,60.06579301633552,56.98276302604954
102.png,retinex,19.024942836556114,24.16662351458477
102.png,hist_eq,57.26002054847204,55.169463756974565
103.png,clahe,41.61688714124343,46.4275405777542
103.png,gamma,42.638434168057984,46.58297331127472
103.png,log,41.960908741518786,42.34802601276473
103.png,retinex,54.20584027391575,42.95302399925406
103.png,hist_eq,2.10340908054486,32.02896917481217
104.png,clahe,41.54539229307564,46.40776631973738
104.png,gamma,42.64561395856819,46.627851382612
104.png,log,41.93163304809551,42.16503506671532
104.png,retinex,54.21827192288056,42.95563048059743
104.png,hist_eq,2.10340908054486,32.02896917481217
105.png,clahe,50.970659950782064,52.151411376268804
105.png,gamma,51.382071168616854,51.940389848916546
105.png,log,63.25961944889944,63.51589293418933
105.png,retinex,29.695126075529195,22.07869691277767
105.png,hist_eq,54.22030024455378,42.95605574860609
106.png,clahe,51.59220502508797,52.793605202005786
106.png,gamma,51.97849934263861,52.52055979350283
106.png,log,74.70238681610329,63.81312991390743
106.png,retinex,29.34319024256348,22.617424032475885
106.png,hist_eq,54.22030024455378,42.95605574860609
107.png,clahe,39.199849436051004,34.12582509008317
107.png,gamma,39.199849436051004,34.12582509008317
107.png,log,42.388935593631494,39.72614974924398
107.png,retinex,7.647890447415796,21.331402053570425
107.png,hist_eq,29.532404867219594,34.356067640815006
109.png,clahe,58.5050947933559,59.43731951028376
109.png,gamma,52.8961283446198,57.485511785308624
109.png,log,62.75757226797769,64.46240566269417
109.png,retinex,27.92360576718053,24.705853221450262
109.png,hist_eq,61.34355184634014,71.57683972229528
110.png,clahe,58.72472718336396,59.69685567202403
110.png,gamma,53.35039555327573,58.034338938490755
110.png,log,62.75757226797769,64.46240566269417
110.png,retinex,23.879906025096034,22.034123394675923
110.png,hist_eq,61.40723559329613,71.83271707524537
112.png,clahe,64.08252767423808,61.06454279313454
112.png,gamma,57.10505041275975,57.782908952748855
