filename,method,musiq,maniqa,clipiqa
10.png,clahe,41.358619689941406,0.3915075659751892,0.41388437151908875
10.png,gamma,44.80457305908203,0.4005959630012512,0.35978418588638306
10.png,log,56.9208984375,0.503763735294342,0.386973112821579
10.png,retinex,38.82695770263672,0.32916781306266785,0.7296430468559265
10.png,hist_eq,55.871734619140625,0.4666239619255066,0.4207995533943176
100.png,clahe,47.360328674316406,0.4096807837486267,0.585077166557312
100.png,gamma,52.259765625,0.40672194957733154,0.6796157360076904
100.png,log,50.12012481689453,0.48876839876174927,0.744687557220459
100.png,retinex,42.41920471191406,0.36062610149383545,0.5205760598182678
100.png,hist_eq,50.03950119018555,0.4182458817958832,0.6337758898735046
101.png,clahe,48.95953369140625,0.43957260251045227,0.5114347338676453
101.png,gamma,47.18866729736328,0.43075498938560486,0.5060617327690125
101.png,log,43.98817443847656,0.4140740633010864,0.5143956542015076
101.png,retinex,37.13211441040039,0.31908223032951355,0.48588353395462036
101.png,hist_eq,42.930694580078125,0.3643347918987274,0.4732450544834137
102.png,clahe,49.62553024291992,0.4324256181716919,0.49395161867141724
102.png,gamma,50.11338424682617,0.4418913722038269,0.4956487715244293
102.png,log,45.18089294433594,0.42350032925605774,0.4864833950996399
102.png,retinex,39.53427505493164,0.3129000961780548,0.4116429388523102
102.png,hist_eq,43.28712463378906,0.34986937046051025,0.44129347801208496
103.png,clahe,35.67607498168945,0.2661624550819397,0.4058927595615387
103.png,gamma,40.00925064086914,0.28649213910102844,0.442570298910141
103.png,log,40.510475158691406,0.29836028814315796,0.4693368971347809
103.png,retinex,41.83302307128906,0.2749313414096832,0.4325101375579834
103.png,hist_eq,34.21686553955078,0.24682457745075226,0.28271594643592834
104.png,clahe,35.74041748046875,0.26102691888809204,0.34598052501678467
104.png,gamma,38.683528900146484,0.28296202421188354,0.4663581848144531
104.png,log,40.50904846191406,0.29176175594329834,0.4592061936855316
104.png,retinex,38.269493103027344,0.2701073884963989,0.4302988648414612
104.png,hist_eq,34.31359100341797,0.25453558564186096,0.2663319706916809
105.png,clahe,47.51496887207031,0.35731348395347595,0.42491671442985535
105.png,gamma,47.455291748046875,0.3816814124584198,0.5334948897361755
105.png,log,52.070030212402344,0.4172494113445282,0.705692708492279
105.png,retinex,43.835227966308594,0.40055790543556213,0.5645214915275574
105.png,hist_eq,56.24765396118164,0.4621990919113159,0.6439059376716614
106.png,clahe,45.677696228027344,0.35487493872642517,0.39465656876564026
106.png,gamma,46.078224182128906,0.3752041757106781,0.5489704012870789
106.png,log,55.48634719848633,0.4436224400997162,0.6850196123123169
106.png,retinex,48.495635986328125,0.3847459852695465,0.49477753043174744
106.png,hist_eq,58.283729553222656,0.45598387718200684,0.5696654319763184
107.png,clahe,31.086814880371094,0.12014783173799515,0.22020672261714935
107.png,gamma,32.16874313354492,0.1520983725786209,0.31643709540367126
107.png,log,32.130393981933594,0.17360815405845642,0.264877587556839
107.png,retinex,28.598329544067383,0.15450753271579742,0.6497215032577515
107.png,hist_eq,29.489620208740234,0.21110132336616516,0.30549049377441406
109.png,clahe,42.98363494873047,0.2846290171146393,0.513187825679779
109.png,gamma,37.696083068847656,0.32204103469848633,0.501955509185791
109.png,log,42.27440643310547,0.34911850094795227,0.5796709060668945
109.png,retinex,39.32814025878906,0.24814729392528534,0.5403679013252258
109.png,hist_eq,43.525516510009766,0.315736323595047,0.5599502921104431
110.png,clahe,44.75624084472656,0.2831653654575348,0.5486262440681458
110.png,gamma,37.25756072998047,0.31821995973587036,0.48236846923828125
110.png,log,42.54481506347656,0.3435748815536499,0.552024245262146
110.png,retinex,39.397666931152344,0.2556907832622528,0.4939834177494049
110.png,hist_eq,39.14093780517578,0.31770288944244385,0.5428934097290039
112.png,clahe,57.14670181274414,0.4388093650341034,0.5990028381347656
112.png,gamma,52.767921447753906,0.4519895315170288,0.6005882620811462
112.png,log,60.811744689941406,0.4948098957538605,0.7394973635673523
112.png,retinex,38.25928497314453,0.40025240182876587,0.46114346385002136
112.png,hist_eq,60.75791931152344,0.47196468710899353,0.7018642425537109
113.png,clahe,32.20436477661133,0.24946796894073486,0.531249463558197
113.png,gamma,34.137847900390625,0.28550779819488525,0.6133815050125122
113.png,log,48.00933074951172,0.323725163936615,0.6375615000724792
113.png,retinex,38.556053161621094,0.27787667512893677,0.674959123134613
113.png,hist_eq,49.606868743896484,0.3285507261753082,0.5685656666755676
114.png,clahe,33.04035949707031,0.2628025710582733,0.45646047592163086
114.png,gamma,36.4683837890625,0.2861900329589844,0.5819740295410156
114.png,log,38.00684356689453,0.30315497517585754,0.5654363036155701
114.png,retinex,32.28858184814453,0.25767531991004944,0.5211324095726013
114.png,hist_eq,46.86395263671875,0.3393232226371765,0.639199435710907
115.png,clahe,28.084991455078125,0.22752590477466583,0.38228750228881836
115.png,gamma,31.693876266479492,0.27497655153274536,0.4564594328403473
115.png,log,27.292892456054688,0.22624872624874115,0.41084128618240356
115.png,retinex,34.894317626953125,0.2683926224708557,0.6076993346214294
115.png,hist_eq,45.39182662963867,0.3241221010684967,0.4918885827064514
116.png,clahe,26.728086471557617,0.24003148078918457,0.42356353998184204
116.png,gamma,28.147472381591797,0.28489822149276733,0.494476854801178
116.png,log,27.525779724121094,0.23670551180839539,0.43703314661979675
116.png,retinex,35.191890716552734,0.2823921740055084,0.5052854418754578
116.png,hist_eq,46.494441986083984,0.332253634929657,0.33738479018211365
117.png,clahe,29.378089904785156,0.19580966234207153,0.29950976371765137
117.png,gamma,28.87993049621582,0.20007622241973877,0.43324756622314453
117.png,log,26.818735122680664,0.20430658757686615,0.44685307145118713
117.png,retinex,43.81334686279297,0.22298555076122284,0.43301302194595337
117.png,hist_eq,43.51848602294922,0.22092972695827484,0.257109135389328
118.png,clahe,30.84357452392578,0.20799189805984497,0.28712090849876404
118.png,gamma,31.415935516357422,0.2353278249502182,0.46419697999954224
118.png,log,30.535097122192383,0.2393675595521927,0.47090038657188416
118.png,retinex,33.72376251220703,0.24953672289848328,0.5522552132606506
118.png,hist_eq,43.62691879272461,0.24961040914058685,0.38145580887794495
119.png,clahe,42.25447082519531,0.32220861315727234,0.5157660841941833
119.png,gamma,43.27409362792969,0.3666542172431946,0.5340508818626404
119.png,log,50.88930130004883,0.42405247688293457,0.5442294478416443
119.png,retinex,45.53504943847656,0.3072221577167511,0.6358475089073181
119.png,hist_eq,57.33883285522461,0.41408655047416687,0.47895288467407227
12.png,clahe,36.958580017089844,0.2492661476135254,0.38176053762435913
12.png,gamma,39.584022521972656,0.2780669033527374,0.47351333498954773
12.png,log,42.54484558105469,0.3438069522380829,0.44678106904029846
12.png,retinex,35.44334411621094,0.2714352011680603,0.5514745116233826
12.png,hist_eq,37.7984504699707,0.2825121283531189,0.32424840331077576
120.png,clahe,40.125,0.31730321049690247,0.5732305645942688
120.png,gamma,41.85968780517578,0.34459155797958374,0.5664107203483582
120.png,log,51.485328674316406,0.39745527505874634,0.5570401549339294
120.png,retinex,37.20022201538086,0.3130788505077362,0.41824451088905334
120.png,hist_eq,58.09834289550781,0.39541664719581604,0.46554040908813477
121.png,clahe,27.554534912109375,0.23721787333488464,0.5448694229125977
121.png,gamma,31.93383026123047,0.30659976601600647,0.6055155992507935
121.png,log,39.4999885559082,0.346554160118103,0.6220752596855164
121.png,retinex,32.74883270263672,0.22019492089748383,0.6528696417808533
121.png,hist_eq,47.38883972167969,0.3183250427246094,0.5233368873596191
122.png,clahe,25.11265754699707,0.23447661101818085,0.44570332765579224
122.png,gamma,32.31107711791992,0.30345046520233154,0.5923101305961609
122.png,log,40.09503936767578,0.354521781206131,0.6015558242797852
122.png,retinex,32.57826232910156,0.20000213384628296,0.7641591429710388
122.png,hist_eq,46.10645294189453,0.33487552404403687,0.5014386177062988
123.png,clahe,46.256744384765625,0.3994152247905731,0.6319963335990906
123.png,gamma,48.636451721191406,0.43700355291366577,0.6889204382896423
123.png,log,51.80107116699219,0.46883919835090637,0.6470867991447449
123.png,retinex,32.06180191040039,0.28205254673957825,0.625957190990448
123.png,hist_eq,50.289180755615234,0.461645245552063,0.6295260787010193
124.png,clahe,45.403900146484375,0.40578320622444153,0.6208108067512512
124.png,gamma,51.409934997558594,0.44326844811439514,0.6607250571250916
124.png,log,52.71547317504883,0.48007282614707947,0.6269508004188538
124.png,retinex,37.586082458496094,0.2722015976905823,0.7089791893959045
124.png,hist_eq,51.839637756347656,0.4619905948638916,0.5703974962234497
125.png,clahe,30.49752426147461,0.15814951062202454,0.3739639222621918
125.png,gamma,31.48290252685547,0.16466274857521057,0.36935028433799744
125.png,log,34.081241607666016,0.18686611950397491,0.3360973298549652
125.png,retinex,38.91797637939453,0.19210784137248993,0.5296379327774048
125.png,hist_eq,34.383941650390625,0.20184583961963654,0.37317171692848206
126.png,clahe,31.953472137451172,0.15393759310245514,0.36851927638053894
126.png,gamma,33.50032043457031,0.16647541522979736,0.3645581901073456
126.png,log,38.336204528808594,0.20326067507266998,0.3435867726802826
