filename,method,psnr,ssim,entropy,lpips,niqe,brisque,musiq,maniqa,clipiqa,brightness,contrast,colorfulness,sharpness,noise
10.png,zerodce,13.280051278298401,0.6774147152900696,6.715478897094727,0.22262242436408997,6.489952061917516,20.30828857421875,56.927894592285156,0.48221614956855774,0.44108468294143677,0.30193768669577203,0.12319040351943095,0.14223621266962033,0.008487910537556908,0.015551893439846058
100.png,zerodce,12.63581689698828,0.46674975752830505,6.22785758972168,0.23129615187644958,6.440847594483749,39.15887451171875,53.989349365234375,0.44933441281318665,0.7078298926353455,0.17179756912530636,0.17962572621514106,0.047927237226396004,0.014914487561107867,0.015581883750729462
101.png,zerodce,14.183953649687416,0.6804105639457703,7.145421981811523,0.16042549908161163,8.549009674299962,26.34100341796875,47.80663299560547,0.4582752585411072,0.6249327063560486,0.26188581878063727,0.19093301544213806,0.08323360210018685,0.02147658136556543,0.015705070031927938
102.png,zerodce,22.573509261179847,0.759107768535614,7.1177659034729,0.12350750714540482,9.092766680487669,26.60321044921875,50.58128356933594,0.4568481743335724,0.6259568333625793,0.2510036094515931,0.19693106836141125,0.07168372899694615,0.02198746573739613,0.015659030714712346
103.png,zerodce,12.509182537972407,0.2911392152309418,5.822603225708008,0.4019680619239807,11.004445335439499,39.87518310546875,43.807594299316406,0.3362782597541809,0.46263155341148376,0.10393946030560662,0.1315776886826887,0.06709295435814153,0.013384369944882181,0.01740827082893118
104.png,zerodce,10.011534494959392,0.23304402828216553,5.8484649658203125,0.4702880382537842,10.62216827258806,38.69207763671875,43.252140045166016,0.32503843307495117,0.5114656090736389,0.10620290718826593,0.13322882432706434,0.06653013707449035,0.013400576175607653,0.017246231731770294
105.png,zerodce,11.831383830856602,0.6378293037414551,6.7206315994262695,0.212844580411911,8.331803819875262,19.51043701171875,57.09630584716797,0.47708114981651306,0.7459624409675598,0.27902413162530637,0.11096066660618187,0.14842813878693703,0.011208306566046917,0.018609838602064166
106.png,zerodce,10.564648555789738,0.6235376000404358,6.732071876525879,0.23127548396587372,8.82653549926384,20.75604248046875,57.465675354003906,0.4607195556163788,0.699358344078064,0.2802497414981618,0.11191205428673416,0.1389909165628469,0.011595274111838215,0.018748667585637046
107.png,zerodce,6.555099897886118,0.1686960905790329,5.80595588684082,0.6954385042190552,11.735522006498096,34.89080810546875,34.87800979614258,0.20464034378528595,0.2246713638305664,0.10747351552925857,0.08131252093650988,0.09529264033193541,0.008581964263820685,0.019601601169000126
109.png,zerodce,9.452120778848391,0.7189934253692627,5.919566631317139,0.30685654282569885,10.210920307894026,-11.97930908203125,48.074745178222656,0.36445966362953186,0.6528193950653076,0.42199659160539216,0.13471228459140128,0.054789976842533686,0.0041175847264778,0.010277179277994751
110.png,zerodce,23.928641632974298,0.8449795246124268,5.91680383682251,0.1682116538286209,10.526043307158679,-13.03350830078125,44.73088836669922,0.35496386885643005,0.6744041442871094,0.42245531269148284,0.13481486313314858,0.050945253605878704,0.004206141316454023,0.010265421857216586
112.png,zerodce,22.02932335470954,0.8261194229125977,6.649569511413574,0.1410616785287857,7.357302924671633,19.70135498046875,60.95213317871094,0.49000027775764465,0.7400298118591309,0.3605894200942096,0.11656091410704353,0.06815896014536961,0.008942389484195583,0.013707451229520632
113.png,zerodce,6.389295943155017,0.27394047379493713,6.374198913574219,0.584839940071106,11.179184462570047,31.62127685546875,49.78746032714844,0.320848286151886,0.6228313446044922,0.16221355363434437,0.09212425137354467,0.07694119060360478,0.009834103683057724,0.019627883956268816
114.png,zerodce,5.7607417414920645,0.26619312167167664,6.433775901794434,0.5845474004745483,10.563636455416681,32.76971435546875,46.67279815673828,0.329013466835022,0.6315375566482544,0.15397530350030636,0.09779442082206004,0.07268672521812385,0.010319106795555442,0.01977671817480195
115.png,zerodce,8.608132222192507,0.38700070977211,6.3548173904418945,0.4916943311691284,10.755045536832197,31.06805419921875,42.09581756591797,0.33332085609436035,0.5440250039100647,0.21893508013556987,0.1596809377163294,0.12048321933986646,0.007310073662607264,0.015851847336674826
116.png,zerodce,14.327266529607837,0.5488220453262329,6.402376651763916,0.3543999195098877,10.61296825754022,25.04754638671875,39.02262496948242,0.3520198166370392,0.5087372660636902,0.21663979923023896,0.16345165746141158,0.10223133398969513,0.007299529649976101,0.01567840633469883
117.png,zerodce,7.358137110912971,0.3004028797149658,6.440457820892334,0.6146981120109558,11.89423122640414,43.40692138671875,37.87200164794922,0.2212405651807785,0.31196603178977966,0.17188086416207107,0.09186137755519357,0.10431937959182876,0.008190098153119309,0.01874292854223345
118.png,zerodce,7.936002497447136,0.320269912481308,6.442440509796143,0.5690975189208984,10.55597489911863,43.55340576171875,40.649898529052734,0.26311469078063965,0.37221357226371765,0.18846040613511028,0.09272406326715828,0.12294541297072169,0.007964192579820128,0.018244063464075547
119.png,zerodce,27.515803121752093,0.8133389353752136,6.532052040100098,0.16786319017410278,7.720648522024128,35.14276123046875,51.41617202758789,0.45592620968818665,0.5483519434928894,0.37667463714001226,0.10400512877578102,0.1117783880190087,0.0050651096956469965,0.011374530085957974
12.png,zerodce,8.625246424728227,0.31730327010154724,6.535303592681885,0.4138098657131195,10.654826167850624,38.71600341796875,42.200130462646484,0.31555771827697754,0.4440746307373047,0.14917183670343137,0.12173778411676682,0.07035326528235156,0.01315316861440234,0.01812532113241526
120.png,zerodce,11.345650928256013,0.7072363495826721,6.589423179626465,0.24096326529979706,7.326094532155411,32.20819091796875,51.70911407470703,0.42347314953804016,0.5647546648979187,0.3669552672143076,0.1088300187834624,0.08594305632484402,0.0056700685591340606,0.012112555831262285
121.png,zerodce,9.600847687624304,0.2934246361255646,6.340041160583496,0.5614635348320007,10.78787069353158,35.86248779296875,45.63971710205078,0.36504074931144714,0.4823773503303528,0.1422598446116728,0.10037854311056586,0.11852139814875078,0.009769912001425138,0.019007940298693408
122.png,zerodce,9.195718808827133,0.30683591961860657,6.437140941619873,0.6202153563499451,10.558264336469058,32.95574951171875,46.59489059448242,0.38257691264152527,0.5291865468025208,0.1522583606196385,0.09830759945783768,0.11879857327448753,0.009633747966690092,0.019189786713795915
123.png,zerodce,11.797767485220213,0.6032125353813171,6.944746971130371,0.3016600012779236,9.491800495467693,25.91229248046875,53.572357177734375,0.4864678978919983,0.6686185598373413,0.26968042710248163,0.14277724973424716,0.10145650408204886,0.010857727442453058,0.015776122436544165
124.png,zerodce,10.218661991594134,0.5447331070899963,6.937291145324707,0.3226258456707001,9.090609542873967,25.20526123046875,54.22304153442383,0.4856427013874054,0.6543569564819336,0.27099752987132353,0.14102519630741178,0.11489421722566209,0.010564601203882891,0.01561075672572898
125.png,zerodce,10.165602772838604,0.6033726334571838,6.627790927886963,0.3494192659854889,7.9100442932529385,29.69989013671875,37.909278869628906,0.20673859119415283,0.3548605144023895,0.30756357230392156,0.1109442230465809,0.07911497482955286,0.0057722797394278635,0.014111876031492778
126.png,zerodce,8.388916616514107,0.5311369299888611,6.568270683288574,0.4406726360321045,8.425530566165682,29.20916748046875,38.94805145263672,0.20656424760818481,0.38106995820999146,0.2936994365617341,0.10350493985305007,0.10346392861881853,0.005562335198246707,0.014186204261768582
