frame,t_s,cap_ms,enh_ms,assess_ms,total_ms,score
86,0.9173,2.8322,6.4352,1.1772,10.4446,52.9580
87,0.9277,2.7490,6.4041,1.1859,10.3390,52.9580
88,0.9381,2.7952,6.4329,1.1771,10.4052,52.9580
89,0.9485,2.7954,6.3857,1.1923,10.3734,52.9580
90,0.9589,2.7870,6.4536,1.1817,10.4223,52.9580
91,0.9692,2.7608,6.3963,1.1819,10.3390,52.9580
92,0.9798,2.9078,6.4516,1.1875,10.5469,52.9580
93,0.9902,2.8066,6.4176,1.2068,10.4310,52.9580
94,1.0007,2.7977,6.4620,1.1942,10.4539,52.9580
95,1.0113,2.9994,6.3933,1.2140,10.6067,52.9580
96,1.0217,2.8914,6.4034,1.1747,10.4695,52.9580
97,1.0320,2.7270,6.3816,1.1905,10.2991,52.9580
98,1.0425,2.8022,6.4248,1.2163,10.4433,52.9580
99,1.0528,2.7345,6.3833,1.1841,10.3019,52.9580
100,1.0632,2.8068,6.4253,1.1757,10.4078,52.9580
101,1.0736,2.7169,6.3928,1.2420,10.3517,52.9580
102,1.0839,2.7737,6.4313,1.1805,10.3855,52.9580
103,1.0943,2.7401,6.4006,1.1891,10.3298,52.9580
104,1.1048,2.8108,6.4646,1.2226,10.4980,52.9580
105,1.1151,2.7676,6.3890,1.1857,10.3423,52.9580
106,1.1255,2.7619,6.4479,1.1790,10.3888,52.9580
107,1.1359,2.7467,6.3896,1.1967,10.3330,52.9580
108,1.1463,2.8215,6.4294,1.1843,10.4352,52.9580
109,1.1566,2.7359,6.3992,1.1886,10.3237,52.9580
110,1.1670,2.7616,6.4217,1.2334,10.4167,52.9580
111,1.1774,2.7224,6.3989,1.1918,10.3131,52.9580
112,1.1877,2.7876,6.3930,1.1774,10.3580,52.9580
113,1.1981,2.7745,6.3960,1.2148,10.3853,52.9580
114,1.2085,2.8059,6.4163,1.1829,10.4051,52.9580
115,1.2188,2.7364,6.4028,1.1743,10.3135,52.9580
116,1.2295,2.7817,6.6890,1.1831,10.6538,52.9580
117,1.2399,2.7882,6.4513,1.1958,10.4353,52.9580
118,1.2503,2.7794,6.4135,1.1839,10.3768,52.9580
119,1.2607,2.7502,6.4886,1.1898,10.4286,52.9580
120,1.2712,2.8076,6.4544,1.1766,10.4386,52.9580
121,1.2815,2.7264,6.3984,1.1862,10.3110,52.9580
122,1.2919,2.8155,6.4426,1.1851,10.4432,52.9580
123,1.3023,2.7536,6.4213,1.1938,10.3687,52.9580
124,1.3127,2.7864,6.4380,1.1990,10.4234,52.9580
125,1.3232,2.7874,6.4599,1.1951,10.4424,52.9580
126,1.3336,2.8017,6.4255,1.1772,10.4044,52.9580
127,1.3439,2.7669,6.3979,1.1767,10.3415,52.9580
128,1.3545,2.9040,6.4491,1.1814,10.5345,52.9580
129,1.3648,2.7828,6.3977,1.1886,10.3691,52.9580
130,1.3752,2.7893,6.3985,1.1727,10.3605,52.9580
131,1.3857,2.8523,6.4411,1.1794,10.4728,52.9580
132,1.3961,2.8107,6.4219,1.1896,10.4222,52.9580
133,1.4065,2.7731,6.4006,1.2003,10.3740,52.9580
134,1.4170,2.8542,6.4313,1.1880,10.4735,52.9580
135,1.4274,2.8470,6.3940,1.1909,10.4319,52.9580
136,1.4378,2.8085,6.4300,1.1901,10.4286,52.9580
137,1.4482,2.8279,6.3853,1.1843,10.3975,52.9580
138,1.4586,2.7644,6.4158,1.1781,10.3583,52.9580
139,1.4690,2.7989,6.4041,1.1828,10.3858,52.9580
140,1.4795,2.8963,6.4347,1.1737,10.5047,52.9580
141,1.4898,2.7716,6.4068,1.1890,10.3674,52.9580
142,1.5002,2.8061,6.3972,1.1803,10.3836,52.9580
143,1.5107,2.8759,6.3900,1.1788,10.4447,52.9580
144,1.5212,2.8704,6.4317,1.1826,10.4847,52.9580
145,1.5315,2.7916,6.3887,1.1870,10.3673,52.9580
146,1.5421,2.9187,6.4778,1.1938,10.5903,52.9580
147,1.5525,2.7636,6.4291,1.1838,10.3765,52.9580
148,1.5629,2.8130,6.4326,1.1736,10.4192,52.9580
149,1.5734,2.8626,6.4048,1.1870,10.4544,52.9580
150,1.5838,2.8099,6.4583,1.1777,10.4459,52.9580
151,1.5942,2.7894,6.3955,1.1829,10.3678,52.9580
152,1.6049,3.0173,6.4568,1.1803,10.6544,52.9580
153,1.6154,2.7648,6.4840,1.2519,10.5007,52.9580
154,1.6259,2.7356,6.6344,1.1946,10.5646,52.9580
155,1.6364,2.8019,6.4245,1.2025,10.4289,52.9580
156,1.6468,2.7474,6.4437,1.1942,10.3853,52.9580
157,1.6571,2.7161,6.4053,1.1954,10.3168,52.9580
158,1.6676,2.8988,6.4629,1.1920,10.5537,52.9580
159,1.6780,2.7430,6.4328,1.1999,10.3757,52.9580
160,1.6884,2.7660,6.4107,1.1833,10.3600,52.9580
161,1.6989,2.8633,6.4410,1.1937,10.4980,52.9580
162,1.7093,2.7414,6.4339,1.1952,10.3705,52.9580
163,1.7196,2.7529,6.3940,1.1919,10.3388,52.9580
164,1.7301,2.8653,6.4430,1.1827,10.4910,52.9580
165,1.7404,2.7159,6.4372,1.1997,10.3528,52.9580
166,1.7509,2.7763,6.4189,1.2200,10.4152,52.9580
167,1.7613,2.8618,6.4140,1.1874,10.4632,52.9580
168,1.7717,2.7562,6.4288,1.1721,10.3571,52.9580
169,1.7820,2.7373,6.3850,1.1801,10.3024,52.9580
170,1.7925,2.8970,6.4284,1.1809,10.5063,52.9580
171,1.8028,2.7214,6.4305,1.1805,10.3324,52.9580
172,1.8131,2.7119,6.4243,1.1726,10.3088,52.9580
173,1.8236,2.8773,6.4088,1.1883,10.4744,52.9580
174,1.8340,2.7538,6.4383,1.1882,10.3803,52.9580
175,1.8443,2.7074,6.3898,1.1767,10.2739,52.9580
176,1.8549,2.9298,6.4660,1.1804,10.5762,52.9580
177,1.8652,2.7749,6.4171,1.1820,10.3740,52.9580
178,1.8764,3.3058,6.6191,1.2162,11.1411,52.9580
179,1.8871,2.8129,6.6754,1.2292,10.7175,52.9580
180,1.8976,2.7498,6.5167,1.1880,10.4545,52.9580
181,1.9081,2.8660,6.4444,1.1919,10.5023,52.9580
182,1.9185,2.7323,6.4599,1.1872,10.3794,52.9580
183,1.9287,2.7033,6.3899,1.1776,10.2708,52.9580
184,1.9394,2.9016,6.6191,1.1954,10.7161,52.9580
185,1.9499,2.8555,6.4171,1.1899,10.4625,52.9580
186,1.9603,2.7025,6.4790,1.1866,10.3681,52.9580
187,1.9707,2.7504,6.4526,1.2065,10.4095,52.9580
188,1.9815,3.0817,6.5134,1.1909,10.7860,52.9580
189,1.9920,2.8621,6.4419,1.1991,10.5031,52.9580
190,2.0024,2.7422,6.4489,1.1785,10.3696,52.9580
191,2.0128,2.8045,6.4252,1.1774,10.4071,52.9580
192,2.0232,2.7456,6.4599,1.1741,10.3796,52.9580
193,2.0335,2.7147,6.4338,1.1900,10.3385,52.9580
194,2.0440,2.8398,6.4638,1.1818,10.4854,52.9580
195,2.0543,2.7252,6.4438,1.1938,10.3628,52.9580
196,2.0648,2.7828,6.4513,1.1944,10.4285,52.9580
197,2.0754,2.8789,6.5008,1.1977,10.5774,52.9580
198,2.0858,2.7341,6.4975,1.2022,10.4338,52.9580
199,2.0962,2.7912,6.4296,1.2291,10.4499,52.9580
200,2.1066,2.7509,6.4744,1.1716,10.3969,52.9580
201,2.1170,2.7147,6.4388,1.1869,10.3404,52.9580
202,2.1274,2.7453,6.4343,1.2178,10.3974,52.9580
203,2.1378,2.7288,6.4733,1.1812,10.3833,52.9580
204,2.1482,2.7392,6.4549,1.2074,10.4015,52.9580
205,2.1587,2.7817,6.4524,1.2329,10.4670,52.9580
206,2.1691,2.7524,6.4843,1.1826,10.4193,52.9580
207,2.1795,2.7578,6.4616,1.1898,10.4092,52.9580
208,2.1899,2.7709,6.4818,1.1947,10.4474,52.9580
209,2.2004,2.7884,6.4438,1.2044,10.4366,52.9580
210,2.2109,2.7966,6.4930,1.1846,10.4742,52.9580
211,2.2212,2.7301,6.4262,1.2084,10.3647,52.9580
212,2.2317,2.8035,6.4837,1.1701,10.4573,52.9580
213,2.2422,2.7525,6.4716,1.2418,10.4659,52.9580
214,2.2527,2.8088,6.5091,1.1950,10.5129,52.9580
215,2.2634,2.8936,6.5956,1.2109,10.7001,52.9580
216,2.2750,2.9811,7.3847,1.2533,11.6191,52.9580
217,2.2863,2.7876,7.2982,1.2007,11.2865,52.9580
218,2.2971,2.9677,6.6383,1.2143,10.8203,52.9580
219,2.3085,2.7313,7.3852,1.2525,11.3690,52.9580
220,2.3202,3.2892,7.2573,1.1947,11.7412,52.9580
221,2.3318,2.7107,7.4935,1.4120,11.6162,52.9580
222,2.3432,2.7181,7.4540,1.2037,11.3758,52.9580
223,2.3547,3.1555,7.0929,1.2047,11.4531,52.9580
224,2.3658,2.7747,7.1283,1.2285,11.1315,52.9580
225,2.3763,2.7524,6.5414,1.1977,10.4915,52.9580
226,2.3869,2.9089,6.4854,1.1987,10.5930,52.9580
227,2.3973,2.7289,6.5156,1.1942,10.4387,52.9580
228,2.4077,2.7515,6.3928,1.1798,10.3241,52.9580
229,2.4182,2.7967,6.5107,1.1976,10.5050,52.9580
