filename,method,psnr,ssim,entropy
10.png,clahe,7.651220716272965,0.3163502514362335,5.6504316329956055
10.png,gamma,8.258875477408393,0.3897782564163208,5.678657531738281
10.png,log,16.703449273861995,0.6271999478340149,7.482511520385742
10.png,retinex,7.624449031588773,0.5784054398536682,5.221931457519531
10.png,hist_eq,16.2731094104161,0.5083025097846985,7.943683624267578
100.png,clahe,8.937214871060744,0.30045807361602783,4.925055980682373
100.png,gamma,9.18403160614346,0.2500295042991638,5.470863342285156
100.png,log,12.77463254996656,0.40242621302604675,6.146542549133301
100.png,retinex,8.182807645903141,0.29965436458587646,7.135619163513184
100.png,hist_eq,18.55975127614668,0.5205876231193542,6.611659049987793
101.png,clahe,9.122913636855078,0.36211061477661133,5.9949235916137695
101.png,gamma,9.59250323890323,0.4043102264404297,6.36388635635376
101.png,log,8.204343089085972,0.21135127544403076,5.719460487365723
101.png,retinex,7.071182410552936,0.4353051483631134,6.0091729164123535
101.png,hist_eq,20.10302027522215,0.7163026928901672,7.710988998413086
102.png,clahe,17.270963548949773,0.7077205181121826,5.970415115356445
102.png,gamma,18.309602663460108,0.7229511141777039,6.372819900512695
102.png,log,15.250719715699192,0.4208472669124603,5.640290260314941
102.png,retinex,4.89760574394484,0.3068712055683136,6.318168640136719
102.png,hist_eq,10.961844064622394,0.45405396819114685,7.4893951416015625
103.png,clahe,10.482746863865069,0.22395211458206177,4.147236347198486
103.png,gamma,10.581467060749493,0.16868384182453156,5.02975606918335
103.png,log,10.404490899308612,0.11438828706741333,4.587087631225586
103.png,retinex,9.44410453714856,0.32203027606010437,7.108628273010254
103.png,hist_eq,14.67869497984962,0.3702991008758545,6.142407417297363
104.png,clahe,8.56067083818661,0.1613352745771408,4.163101673126221
104.png,gamma,8.60243665699683,0.13616088032722473,5.0629096031188965
104.png,log,8.415379040094562,0.09761152416467667,4.62798547744751
104.png,retinex,11.12672236222495,0.37154510617256165,7.1088457107543945
104.png,hist_eq,15.220033708013727,0.3727603852748871,6.153707027435303
105.png,clahe,7.332101119202213,0.25829148292541504,5.511499881744385
105.png,gamma,7.759538839607648,0.316900372505188,5.626238822937012
105.png,log,8.083537796486308,0.33781683444976807,6.098747253417969
105.png,retinex,8.207566231465481,0.5262467861175537,5.2570390701293945
105.png,hist_eq,17.827457587907908,0.5715982913970947,7.857975006103516
106.png,clahe,6.405934263414229,0.24868619441986084,5.5307464599609375
106.png,gamma,6.8245256606271045,0.3095064163208008,5.641115188598633
106.png,log,8.018710912576289,0.4253557622432709,6.479801177978516
106.png,retinex,9.223598222198317,0.6025223731994629,5.224607944488525
