filename,method,clipiqa_plus
10.png,clahe,0.4729853868484497
10.png,gamma,0.4950927793979645
10.png,log,0.5393741726875305
10.png,retinex,0.5053950548171997
10.png,hist_eq,0.4599994122982025
100.png,clahe,0.5665904879570007
100.png,gamma,0.590624988079071
100.png,log,0.6666191220283508
100.png,retinex,0.4112600088119507
100.png,hist_eq,0.6071535348892212
101.png,clahe,0.41176488995552063
101.png,gamma,0.47056078910827637
101.png,log,0.44177907705307007
101.png,retinex,0.47063443064689636
101.png,hist_eq,0.5548478364944458
102.png,clahe,0.4870638847351074
102.png,gamma,0.49976229667663574
102.png,log,0.4658777117729187
102.png,retinex,0.424761027097702
102.png,hist_eq,0.5317897796630859
103.png,clahe,0.3923477530479431
103.png,gamma,0.44895705580711365
103.png,log,0.42602166533470154
103.png,retinex,0.28633564710617065
103.png,hist_eq,0.3000357151031494
104.png,clahe,0.38418400287628174
104.png,gamma,0.4517974555492401
104.png,log,0.4270942509174347
104.png,retinex,0.2838050425052643
104.png,hist_eq,0.27100029587745667
105.png,clahe,0.5009281635284424
105.png,gamma,0.5403497815132141
105.png,log,0.6045801639556885
105.png,retinex,0.5010373592376709
105.png,hist_eq,0.587115466594696
106.png,clahe,0.5274674892425537
106.png,gamma,0.5437073111534119
106.png,log,0.6403810977935791
106.png,retinex,0.4841397702693939
106.png,hist_eq,0.5928364992141724
107.png,clahe,0.2903783619403839
107.png,gamma,0.3486384153366089
107.png,log,0.3651926815509796
107.png,retinex,0.3723752796649933
107.png,hist_eq,0.23097802698612213
109.png,clahe,0.4670974612236023
109.png,gamma,0.551665723323822
109.png,log,0.5905585885047913
109.png,retinex,0.47060877084732056
109.png,hist_eq,0.5407107472419739
110.png,clahe,0.42578941583633423
110.png,gamma,0.4926905930042267
110.png,log,0.5323995351791382
110.png,retinex,0.3991694450378418
110.png,hist_eq,0.4654695689678192
112.png,clahe,0.5836669206619263
112.png,gamma,0.6250814199447632
112.png,log,0.6443874835968018
112.png,retinex,0.529453694820404
112.png,hist_eq,0.7038099765777588
113.png,clahe,0.490072101354599
113.png,gamma,0.48391252756118774
113.png,log,0.5471644401550293
113.png,retinex,0.5875396728515625
113.png,hist_eq,0.483503133058548
114.png,clahe,0.48591840267181396
114.png,gamma,0.4850141704082489
114.png,log,0.4886789321899414
114.png,retinex,0.43942970037460327
114.png,hist_eq,0.5526830554008484
115.png,clahe,0.33127012848854065
115.png,gamma,0.46406257152557373
115.png,log,0.4312751591205597
115.png,retinex,0.5033056139945984
115.png,hist_eq,0.5173644423484802
116.png,clahe,0.3953434228897095
116.png,gamma,0.4567173719406128
116.png,log,0.4368148744106293
116.png,retinex,0.4300493896007538
116.png,hist_eq,0.460313081741333
117.png,clahe,0.339771568775177
117.png,gamma,0.41877469420433044
117.png,log,0.4370051622390747
117.png,retinex,0.35197576880455017
117.png,hist_eq,0.3400469720363617
118.png,clahe,0.334806889295578
118.png,gamma,0.45198073983192444
118.png,log,0.4248500168323517
118.png,retinex,0.4130733907222748
118.png,hist_eq,0.36640799045562744
119.png,clahe,0.46409669518470764
119.png,gamma,0.5635069608688354
119.png,log,0.5722643733024597
119.png,retinex,0.5149369835853577
119.png,hist_eq,0.4611828923225403
12.png,clahe,0.3377496004104614
12.png,gamma,0.40565773844718933
12.png,log,0.46362948417663574
12.png,retinex,0.4137519299983978
12.png,hist_eq,0.4289034605026245
120.png,clahe,0.4653177559375763
120.png,gamma,0.5266932249069214
120.png,log,0.5403284430503845
120.png,retinex,0.4589804708957672
120.png,hist_eq,0.4563475549221039
121.png,clahe,0.4012821912765503
121.png,gamma,0.468558132648468
121.png,log,0.4629005193710327
121.png,retinex,0.3515721559524536
121.png,hist_eq,0.4260011613368988
122.png,clahe,0.3747156262397766
122.png,gamma,0.43680644035339355
122.png,log,0.4482566714286804
122.png,retinex,0.45448848605155945
122.png,hist_eq,0.4731888771057129
123.png,clahe,0.45844292640686035
123.png,gamma,0.5090538859367371
123.png,log,0.5172263383865356
123.png,retinex,0.47479525208473206
123.png,hist_eq,0.5158095359802246
124.png,clahe,0.44158104062080383
124.png,gamma,0.5069360733032227
124.png,log,0.5116496682167053
124.png,retinex,0.5416067838668823
124.png,hist_eq,0.4812007248401642
125.png,clahe,0.26661789417266846
125.png,gamma,0.3996155560016632
125.png,log,0.48149073123931885
125.png,retinex,0.4664466083049774
125.png,hist_eq,0.49533212184906006
126.png,clahe,0.28508827090263367
126.png,gamma,0.4263145923614502
126.png,log,0.4845691919326782
126.png,retinex,0.531609296798706
126.png,hist_eq,0.428579717874527
127.png,clahe,0.3779829740524292
127.png,gamma,0.44641411304473877
127.png,log,0.5368459820747375
127.png,retinex,0.4553322196006775
127.png,hist_eq,0.4641586244106293
128.png,clahe,0.3341553807258606
128.png,gamma,0.4720493257045746
128.png,log,0.5363185405731201
128.png,retinex,0.4524478018283844
128.png,hist_eq,0.42827171087265015
129.png,clahe,0.5195775032043457
129.png,gamma,0.6179441809654236
129.png,log,0.7101821899414062
129.png,retinex,0.507239043712616
129.png,hist_eq,0.5393543243408203
13.png,clahe,0.46045616269111633
13.png,gamma,0.5682436227798462
13.png,log,0.6826346516609192
13.png,retinex,0.5985058546066284
13.png,hist_eq,0.5069335103034973
130.png,clahe,0.5354834198951721
130.png,gamma,0.597988486289978
130.png,log,0.6718692779541016
130.png,retinex,0.5213926434516907
130.png,hist_eq,0.5525798201560974
131.png,clahe,0.5377104878425598
131.png,gamma,0.5891255140304565
131.png,log,0.6636185050010681
131.png,retinex,0.5379754900932312
131.png,hist_eq,0.6167415976524353
132.png,clahe,0.5014057159423828
132.png,gamma,0.5649612545967102
132.png,log,0.6412758231163025
132.png,retinex,0.49764442443847656
132.png,hist_eq,0.6069738268852234
135.png,clahe,0.4214322865009308
135.png,gamma,0.5067024827003479
135.png,log,0.4943883419036865
135.png,retinex,0.4746575653553009
135.png,hist_eq,0.5178592205047607
136.png,clahe,0.4126082956790924
136.png,gamma,0.5133315920829773
136.png,log,0.5302783250808716
136.png,retinex,0.49662071466445923
136.png,hist_eq,0.534518837928772
137.png,clahe,0.2538106143474579
137.png,gamma,0.3499903380870819
137.png,log,0.3775314688682556
137.png,retinex,0.36460211873054504
137.png,hist_eq,0.36230218410491943
138.png,clahe,0.28840622305870056
138.png,gamma,0.37998148798942566
138.png,log,0.36565884947776794
138.png,retinex,0.401811808347702
138.png,hist_eq,0.31702864170074463
139.png,clahe,0.2518376111984253
139.png,gamma,0.34759464859962463
139.png,log,0.32349470257759094
139.png,retinex,0.3966894745826721
139.png,hist_eq,0.40305137634277344
14.png,clahe,0.44718417525291443
14.png,gamma,0.5450329184532166
14.png,log,0.6824243068695068
14.png,retinex,0.5472738146781921
14.png,hist_eq,0.5976684093475342
140.png,clahe,0.27682527899742126
140.png,gamma,0.3514908254146576
140.png,log,0.3123427629470825
140.png,retinex,0.3733971118927002
140.png,hist_eq,0.36838462948799133
141.png,clahe,0.29023024439811707
141.png,gamma,0.37610557675361633
141.png,log,0.39817699790000916
141.png,retinex,0.41214168071746826
141.png,hist_eq,0.3163255453109741
142.png,clahe,0.35323384404182434
142.png,gamma,0.385752409696579
142.png,log,0.4258880615234375
142.png,retinex,0.4059518575668335
142.png,hist_eq,0.31053635478019714
143.png,clahe,0.26604020595550537
143.png,gamma,0.3474521338939667
143.png,log,0.34825408458709717
143.png,retinex,0.35252517461776733
143.png,hist_eq,0.4232480227947235
144.png,clahe,0.25737443566322327
144.png,gamma,0.3087517321109772
144.png,log,0.3115377128124237
144.png,retinex,0.44018274545669556
144.png,hist_eq,0.37519925832748413
145.png,clahe,0.4497315287590027
145.png,gamma,0.48612236976623535
145.png,log,0.5173742175102234
145.png,retinex,0.4702421724796295
145.png,hist_eq,0.5128746032714844
147.png,clahe,0.3355494439601898
147.png,gamma,0.4486883580684662
147.png,log,0.4744347333908081
147.png,retinex,0.41569963097572327
147.png,hist_eq,0.4916887581348419
149.png,clahe,0.268385648727417
149.png,gamma,0.2624087631702423
149.png,log,0.34921470284461975
149.png,retinex,0.4024036228656769
149.png,hist_eq,0.3542565703392029
15.png,clahe,0.34991487860679626
15.png,gamma,0.48431646823883057
15.png,log,0.43545883893966675
15.png,retinex,0.3820149302482605
15.png,hist_eq,0.381698876619339
150.png,clahe,0.3993968367576599
150.png,gamma,0.4957827031612396
150.png,log,0.5071682929992676
150.png,retinex,0.38840731978416443
150.png,hist_eq,0.45176464319229126
151.png,clahe,0.4011515974998474
151.png,gamma,0.4542257785797119
151.png,log,0.529784619808197
151.png,retinex,0.3555071949958801
151.png,hist_eq,0.5547630190849304
