filename,method,psnr,ssim,entropy,fuzzy_score,fuzzy_label
10.png,clahe,7.651220716272965,0.3163502514362335,5.6504316329956055,20.625161351694967,Poor
10.png,gamma,8.258875477408393,0.3897782564163208,5.678657531738281,29.316317139478972,Poor
10.png,log,16.703449652530676,0.6271999478340149,7.482511520385742,48.10697793967829,Fair
10.png,retinex,7.624449780584534,0.5784054398536682,5.221931457519531,43.38913071338175,Fair
10.png,hist_eq,16.2731094104161,0.5083025097846985,7.943683624267578,47.0256162552093,Fair
100.png,clahe,8.937214871060744,0.3004580736160278,4.925055980682373,15.634631160938701,Poor
100.png,gamma,9.18403160614346,0.2500295042991638,5.470863342285156,16.806319802887664,Poor
100.png,log,12.77463254996656,0.4024262130260467,6.146542549133301,30.991334553885697,Fair
100.png,retinex,8.182808071781144,0.2996543645858764,7.135619163513184,15.573986528070435,Poor
100.png,hist_eq,18.559750985838317,0.5205876231193542,6.611659049987793,52.403226730477705,Fair
101.png,clahe,9.12291284364722,0.3621106147766113,5.9949235916137695,25.629552396772002,Poor
101.png,gamma,9.59250323890323,0.4043102264404297,6.36388635635376,31.24523462914737,Fair
101.png,log,8.204343089085972,0.2113512754440307,5.719460487365723,17.527931962115925,Poor
101.png,retinex,7.071181421444583,0.4353051483631134,6.0091729164123535,35.30326235948662,Fair
101.png,hist_eq,20.10302027522215,0.7163026928901672,7.710988998413086,55.826324013861274,Fair
102.png,clahe,17.270962685890257,0.7077205181121826,5.970415115356445,49.9524236483303,Fair
102.png,gamma,18.30960348563839,0.7229511141777039,6.372819900512695,51.845919298841885,Fair
102.png,log,15.25071944468852,0.4208472669124603,5.640290260314941,34.09065663901093,Fair
102.png,retinex,4.897606143700861,0.3068712055683136,6.318168640136719,17.12076492481161,Poor
102.png,hist_eq,10.96184366082937,0.4540539681911468,7.489395141601562,37.726590486458086,Fair
103.png,clahe,10.482745779013513,0.2239521145820617,4.147236347198486,15.555598617918156,Poor
103.png,gamma,10.581467060749493,0.1686838418245315,5.02975606918335,15.629455669685699,Poor
103.png,log,10.40449054414906,0.1143882870674133,4.587087631225586,15.555598617918156,Poor
103.png,retinex,9.444104252450265,0.3220302760601043,7.108628273010254,19.225242399829952,Poor
103.png,hist_eq,14.678695454981264,0.3702991008758545,6.142407417297363,26.53264290359484,Poor
104.png,clahe,8.560671302778399,0.1613352745771408,4.163101673126221,15.555598617918156,Poor
104.png,gamma,8.602437126078122,0.1361608803272247,5.0629096031188965,15.712644753973148,Poor
104.png,log,8.415379040094562,0.0976115241646766,4.62798547744751,15.555598617918156,Poor
104.png,retinex,11.12672236222495,0.3715451061725616,7.1088457107543945,26.710664465184074,Poor
104.png,hist_eq,15.220033708013728,0.3727603852748871,6.153707027435303,27.768255662602186,Poor
105.png,clahe,7.332100418966116,0.258291482925415,5.511499881744385,16.921697747648484,Poor
105.png,gamma,7.759538839607648,0.316900372505188,5.626238822937012,20.588681711026737,Poor
105.png,log,8.083537796486308,0.337816834449768,6.098747253417969,22.344694583180203,Poor
105.png,retinex,8.207566231465481,0.5262467861175537,5.2570390701293945,43.37166292499251,Fair
105.png,hist_eq,17.827457097384006,0.5715982913970947,7.857975006103516,50.758692386797186,Fair
106.png,clahe,6.405934263414229,0.2486861944198608,5.5307464599609375,16.976680814827414,Poor
106.png,gamma,6.824525972126353,0.3095064163208008,5.641115188598633,19.291529139000023,Poor
106.png,log,8.018710912576289,0.4253557622432709,6.479801177978516,34.03448736723624,Fair
106.png,retinex,9.223598222198316,0.6025223731994629,5.224607944488525,43.387848015325204,Fair
106.png,hist_eq,16.309177531557772,0.5356411337852478,7.864919662475586,47.11797700827242,Fair
107.png,clahe,5.535853450510025,0.0843759775161743,3.676532745361328,16.17912951945674,Poor
107.png,gamma,5.5907001420538975,0.0882094874978065,4.565579414367676,15.555598617918156,Poor
107.png,log,5.895724553993761,0.1078066155314445,5.239595413208008,16.171114540916815,Poor
107.png,retinex,10.65940161383255,0.3670147955417633,6.216010093688965,26.061237579586805,Poor
107.png,hist_eq,13.5824362815026,0.2934683263301849,6.6119537353515625,15.555598617918156,Poor
109.png,clahe,4.346748216225632,0.3483406007289886,5.940345764160156,24.60099005149759,Poor
109.png,gamma,5.197735731020124,0.4563510417938232,5.446328163146973,37.67419405219942,Fair
109.png,log,6.061798078264465,0.5149776339530945,6.084917068481445,43.2862031979641,Fair
109.png,retinex,13.439809901554671,0.7952060699462891,4.497785568237305,42.931421054792985,Fair
109.png,hist_eq,10.49586987101799,0.3339899480342865,7.803475379943848,21.119757065214863,Poor
110.png,clahe,10.011711315706467,0.5629160404205322,5.932138442993164,43.194271529247104,Fair
110.png,gamma,11.747761515181018,0.692924439907074,5.4541120529174805,43.2635102486272,Fair
110.png,log,13.89513460059703,0.7427665591239929,6.084916114807129,43.27893805311958,Fair
110.png,retinex,6.591128942183024,0.6550626158714294,4.496423244476318,43.484861554333776,Fair
110.png,hist_eq,15.187728111750404,0.4498839378356933,7.783288955688477,37.82463196297136,Fair
112.png,clahe,11.164483907315724,0.5197824835777283,5.9923624992370605,43.231485764433735,Fair
112.png,gamma,12.25494390311434,0.6198276877403259,5.7735114097595215,43.09074139496362,Fair
112.png,log,14.479707370398325,0.7190846800804138,6.511045932769775,43.40412492462386,Fair
112.png,retinex,5.693527961087861,0.5395879149436951,4.832098484039307,43.484861554333776,Fair
112.png,hist_eq,13.762486946647236,0.5093627572059631,7.888453483581543,43.484861554333776,Fair
113.png,clahe,4.807110186614077,0.128712460398674,4.516711235046387,15.555598617918156,Poor
113.png,gamma,4.963259739709833,0.1471378058195114,5.072977066040039,15.738085267144935,Poor
113.png,log,5.632127905890271,0.2047799080610275,6.005084991455078,16.874473641988647,Poor
113.png,retinex,11.714979764180818,0.5686406493186951,5.716221332550049,43.0976805266731,Fair
113.png,hist_eq,13.732996727109374,0.3204501867294311,7.374475479125977,18.970169124888546,Poor
114.png,clahe,4.255883061770426,0.1261300593614578,4.558158874511719,15.555598617918156,Poor
114.png,gamma,4.406600559083088,0.1454590111970901,5.174250602722168,15.998687078338973,Poor
114.png,log,4.296883106494272,0.1246335506439209,5.278039455413818,16.27407718100345,Poor
114.png,retinex,13.729834366441048,0.587831437587738,5.793317794799805,43.1040972703014,Fair
114.png,hist_eq,12.390291698468792,0.310170441865921,7.417104244232178,17.280894154120045,Poor
115.png,clahe,5.566088553311083,0.2256687730550766,5.068210124969482,15.726033110092061,Poor
115.png,gamma,6.077994713027453,0.2328905910253524,5.387130737304688,16.572046902538936,Poor
115.png,log,5.353739590601238,0.1316782832145691,4.82579517364502,15.555598617918156,Poor
115.png,retinex,12.041737252512634,0.5665711760520935,5.939065933227539,43.198609007840076,Fair
115.png,hist_eq,16.322531619210118,0.3406091630458832,7.221756935119629,27.42712837167325,Poor
116.png,clahe,8.88509152233291,0.3421434164047241,4.895530700683594,22.376830016170484,Poor
116.png,gamma,9.741082851621355,0.3671036660671234,5.407304286956787,26.074057756533954,Poor
116.png,log,8.74692619268471,0.2087728977203369,4.846174240112305,15.555598617918156,Poor
116.png,retinex,7.585014972429062,0.4771347939968109,5.816863059997559,39.500839364212965,Fair
116.png,hist_eq,15.613903934073406,0.364122986793518,7.379744529724121,28.080434553266823,Poor
117.png,clahe,5.35684533046244,0.1433557420969009,4.519396781921387,15.555598617918156,Poor
117.png,gamma,5.646851601035856,0.1729939579963684,5.18406343460083,16.024360217624093,Poor
117.png,log,5.662215512340456,0.1631470769643783,5.519952297210693,16.94582610948082,Poor
117.png,retinex,10.122227006485058,0.5513398051261902,5.429294586181641,43.27798671028627,Fair
117.png,hist_eq,14.543268502740167,0.2870968282222748,7.332111358642578,15.555598617918156,Poor
118.png,clahe,5.817368567880276,0.161504864692688,4.617922782897949,15.555598617918156,Poor
118.png,gamma,6.103428006166125,0.1835298687219619,5.224058628082275,16.12981709912805,Poor
118.png,log,6.289055652178105,0.1925720125436782,5.736320972442627,17.578212827581595,Poor
118.png,retinex,10.71723800378666,0.5234320759773254,5.544182777404785,43.20906977325798,Fair
118.png,hist_eq,14.423548733142628,0.2891447842121124,7.329215049743652,15.555598617918156,Poor
119.png,clahe,12.348168031036275,0.5829702019691467,5.737303733825684,43.08341038221865,Fair
119.png,gamma,14.123788068304062,0.6823286414146423,5.761594772338867,43.08263579577244,Fair
119.png,log,22.79595817820742,0.7966349720954895,6.954764366149902,61.75185067148176,Good
119.png,retinex,4.833311156926518,0.5142708420753479,4.667479038238525,43.484861554333776,Fair
119.png,hist_eq,12.368494611881768,0.4726655185222626,7.944457054138184,40.07329972263851,Fair
12.png,clahe,6.729794996429922,0.1488428264856338,4.7728190422058105,15.555598617918156,Poor
12.png,gamma,6.868424897281507,0.1552783995866775,5.470062255859375,16.804057188136976,Poor
12.png,log,8.743039602485146,0.3070523738861084,6.583155632019043,16.757981801265554,Poor
12.png,retinex,9.273896533674511,0.42879518866539,6.535662651062012,34.48304352636862,Fair
12.png,hist_eq,17.479091370203776,0.5140754580497742,7.150184631347656,49.9579687998853,Fair
120.png,clahe,5.858470817743293,0.3256694972515106,5.713044166564941,22.631642018793215,Poor
120.png,gamma,6.660934832134743,0.4212045669555664,5.788609027862549,32.74445918994338,Fair
120.png,log,8.948188012374004,0.5736186504364014,6.887686729431152,43.484861554333776,Fair
120.png,retinex,9.513397369702078,0.7063135504722595,4.649860382080078,43.4604513249183,Fair
120.png,hist_eq,13.949963070186715,0.469182014465332,7.934743404388428,39.63607116261665,Fair
121.png,clahe,7.645197385825067,0.1657961159944534,4.570849418640137,15.555598617918156,Poor
121.png,gamma,7.850534368972818,0.1636097282171249,5.257611274719238,16.219233654526512,Poor
121.png,log,8.011586994016916,0.167707547545433,5.59829044342041,17.171536554969066,Poor
121.png,retinex,9.26255812730897,0.4093591272830963,6.3030781745910645,31.921973157396,Fair
121.png,hist_eq,15.5917540055399,0.3375669717788696,7.107614517211914,24.222522706595143,Poor
122.png,clahe,7.09738331154203,0.1576891392469406,4.496498107910156,15.555598617918156,Poor
122.png,gamma,7.364832046564636,0.1707311868667602,5.247540473937988,16.192304150890894,Poor
122.png,log,7.664755448646004,0.1866835951805114,5.751288414001465,17.61522432210076,Poor
122.png,retinex,9.365889881171125,0.4385626018047333,6.026479721069336,35.69642513557753,Fair
