method,device,ms_per_image,img_per_s,params_M
musiq,cuda,30.69954999955371,32.573767368399125,27.125825
maniqa,cuda,3774.128400000336,0.2649618386062093,135.74753
clipiqa,cuda,52.4287500011269,19.073504517626418,
