held_out,narrow,broad,delta,n
clahe,0.787358104207345,0.6441068559063345,-0.14325124830101044,485
gamma,0.7176117651794325,0.6835259098304034,-0.03408585534902908,485
log,0.549955851688464,0.5786217685966161,0.028665916908152123,485
retinex,-0.22124266699168893,-0.287427247183304,-0.06618458019161505,485
hist_eq,0.16228272106229896,0.18721635910668938,0.024933638044390416,485
zerodce,0.26576248249694445,0.4150013871437465,0.14923890464680206,485
sci,0.39092808637563203,0.41936655902720044,0.028438472651568403,485
