filename,method,lpips,niqe,brisque,psnr_check,ssim_check,entropy_check
10.png,clahe,0.4572685956954956,6.284344122434288,15.21063232421875,7.651220716272965,0.3163502514362335,5.6504316329956055
10.png,gamma,0.29279711842536926,5.641144506242058,12.09002685546875,8.298868426473863,0.39473530650138855,5.678657531738281
10.png,log,0.24541324377059937,6.768550368355789,23.44989013671875,16.809875125295637,0.6293637156486511,7.482511520385742
10.png,retinex,0.5992438793182373,10.931660995011754,4.389404296875,7.58625095387798,0.578318178653717,5.221931457519531
10.png,hist_eq,0.33159974217414856,7.28589567260708,28.00018310546875,16.2731094104161,0.5083025097846985,7.943683624267578
100.png,clahe,0.3839018940925598,6.9757710994436595,43.28143310546875,8.937214871060744,0.30045807361602783,4.925055980682373
100.png,gamma,0.31683599948883057,6.9564546236219655,31.20477294921875,9.217182071774177,0.2546676695346832,5.470863342285156
100.png,log,0.2287594974040985,6.807830381615832,36.12567138671875,12.836658872519548,0.41092681884765625,6.146542549133301
100.png,retinex,0.8646901845932007,9.928425282230005,60.02655029296875,8.151482999841503,0.29943737387657166,7.135619163513184
100.png,hist_eq,0.48648664355278015,7.489450466159843,56.06658935546875,18.55975127614668,0.5205876231193542,6.611659049987793
101.png,clahe,0.3407163918018341,8.877182866436373,25.85662841796875,9.122913636855078,0.36211061477661133,5.9949235916137695
101.png,gamma,0.25997745990753174,8.238667713889757,22.93450927734375,9.634772550283447,0.4099704921245575,6.36388635635376
101.png,log,0.3541455566883087,8.38607634198378,22.80438232421875,8.240963943496062,0.22015546262264252,5.719460487365723
101.png,retinex,0.7128987312316895,10.720085229671637,33.07928466796875,7.038365771092602,0.4351595342159271,6.0091729164123535
101.png,hist_eq,0.21705348789691925,8.88001264273365,33.71649169921875,20.10302027522215,0.7163026928901672,7.710988998413086
102.png,clahe,0.1725974678993225,8.784904897432396,24.64520263671875,17.270963548949773,0.7077205181121826,5.970415115356445
102.png,gamma,0.11397984623908997,8.66693958705739,22.20330810546875,18.41250886649676,0.7301559448242188,6.372819900512695
