eval,model,srcc,krcc,plcc
frozen_transfer,NR-free(LOL-frozen),0.05807915002162343,0.03461334318301998,0.17045551332475892
mos_calibrated,NR-free(MOS-cal),0.266796745691603,0.18077423342147458,0.2577556810664824
mos_calibrated,Linear,0.2849714562956135,0.19572669046353258,0.285347538764228
mos_calibrated,SVR-RBF,0.25507909089315556,0.17390783355695638,0.24769888695950984
mos_calibrated,RandomForest,0.21246790900126053,0.1436486839995612,0.21990160973579406
