filename,method,psnr,ssim,entropy,lpips,niqe,brisque,musiq,maniqa,clipiqa,brightness,contrast,colorfulness,sharpness,noise
10.png,sci,12.38435197062008,0.624966025352478,6.948987007141113,0.23182708024978638,6.496076025885309,17.28631591796875,57.111900329589844,0.5020946264266968,0.40409931540489197,0.2704668830422794,0.13268235090896377,0.1399343312774868,0.009344164079387473,0.0156927031552131
100.png,sci,13.02165017635314,0.4314044713973999,6.158243656158447,0.21871256828308105,6.90557048081115,35.69598388671875,55.137535095214844,0.48856309056282043,0.7476683855056763,0.17136858771829044,0.2034726161794447,0.04740707010762145,0.016939436821682363,0.01325175594687652
101.png,sci,15.238655644189045,0.6752705574035645,7.241594314575195,0.1465207040309906,9.7831041972311,28.05584716796875,48.60166549682617,0.44793978333473206,0.6315883994102478,0.2723797966452206,0.24478666551823303,0.07501822964931276,0.02877223519159009,0.015510221890176567
102.png,sci,21.926497316313718,0.7437252998352051,7.1803388595581055,0.10500407218933105,10.242720744365714,28.64324951171875,50.441444396972656,0.44676682353019714,0.6062507629394531,0.26398692411534924,0.2494386108820209,0.06542879909599518,0.029659237141152706,0.015396177448028075
103.png,sci,12.041391128078384,0.2342330366373062,5.477867126464844,0.4200938940048218,10.809249395186473,28.54217529296875,44.18914794921875,0.3467771112918854,0.5543172359466553,0.08970737831265319,0.16252974155341882,0.04772440269555194,0.01239122260832763,0.012758528336132773
104.png,sci,9.60398963370768,0.19140034914016724,5.514993667602539,0.4917004704475403,10.081440881906843,28.09783935546875,43.94584274291992,0.3286421298980713,0.575154721736908,0.09190015605851716,0.16362749731352602,0.047661196280779326,0.01251145084721911,0.012727065173402427
105.png,sci,11.105998133866246,0.5738322734832764,6.870991230010986,0.23663893342018127,8.206653726848316,17.95721435546875,59.44062805175781,0.4795213043689728,0.6548327207565308,0.24453501981847425,0.14148594228122058,0.15199908643058255,0.011601714557555948,0.017748321847593052
106.png,sci,9.72747993049056,0.5491229295730591,6.87760066986084,0.2744485139846802,8.721242641281561,19.93670654296875,59.87813186645508,0.47160640358924866,0.5908771753311157,0.2433325075635723,0.14235252139809496,0.14588177021537332,0.011704111690931981,0.01766896560583976
107.png,sci,5.991324960067907,0.11669448018074036,5.304285049438477,0.7243163585662842,11.73174879927656,27.33709716796875,33.80060958862305,0.18292225897312164,0.2532115876674652,0.07265678854549633,0.06832244972083537,0.06918132878958388,0.00435562919743319,0.013362778503339046
109.png,sci,10.900115251889046,0.7005274295806885,6.695274353027344,0.32613804936408997,10.475268736719462,-4.30059814453125,49.106048583984375,0.37237057089805603,0.6286277770996094,0.46787187164905025,0.1884611265549078,0.07369460124507808,0.00751951206123162,0.012210982965033727
110.png,sci,25.65466118273653,0.8084400296211243,6.691989421844482,0.21404488384723663,10.869724812672924,-4.26055908203125,46.538570404052734,0.36712446808815,0.6180912852287292,0.46738682167202816,0.188739339180879,0.07356751385903251,0.0075366186527001805,0.012148285185549286
112.png,sci,24.371648117168753,0.8106803894042969,7.103121757507324,0.14943993091583252,7.710135164107959,19.06707763671875,64.5485610961914,0.5059624910354614,0.7589454054832458,0.35429645613128063,0.1571506025089532,0.07340569007128665,0.01297802047447725,0.015265855453571148
113.png,sci,5.652369234305973,0.20848357677459717,5.989001274108887,0.6165891885757446,10.801149252741235,23.92938232421875,46.77296447753906,0.3227689862251282,0.6530594229698181,0.1144217098460478,0.08408590012054454,0.058090876657698076,0.006707502455231818,0.014765212795597971
114.png,sci,5.081442871703473,0.2060888260602951,6.003475189208984,0.6179672479629517,10.402825834955165,25.52703857421875,46.70431137084961,0.3406870365142822,0.6234346032142639,0.10902590284160539,0.08849707302477788,0.05944464514111903,0.006762416626923631,0.014517443563346168
115.png,sci,8.146336558737936,0.32764801383018494,6.348260879516602,0.5103803873062134,10.412062471657299,23.46746826171875,42.74414825439453,0.3460266888141632,0.4373588562011719,0.19450240789675244,0.16931897212119695,0.10639342871440177,0.006564992939862138,0.013556864825169582
116.png,sci,13.452089601776754,0.48931655287742615,6.334761142730713,0.36449921131134033,10.398045540088845,19.62274169921875,40.21287155151367,0.3646855354309082,0.5197263956069946,0.19071457806755515,0.1707564456528277,0.08693057824158112,0.006419858372251416,0.013282736623657006
117.png,sci,6.478283656365838,0.23716950416564941,6.133145332336426,0.6565094590187073,11.765652736177996,38.63690185546875,32.69904708862305,0.22003181278705597,0.33137306571006775,0.1223495184206495,0.07729977554134461,0.0823767665190998,0.005140310449379624,0.014353550704377927
118.png,sci,7.09329970867107,0.25887393951416016,6.232758522033691,0.5951805114746094,10.092969746913353,39.48065185546875,35.639671325683594,0.25664836168289185,0.4439481198787689,0.1398830638212316,0.08332990342240834,0.10196904646004537,0.005537647548898258,0.01472349045793376
119.png,sci,26.922022902751436,0.7818781733512878,7.124837875366211,0.17679058015346527,8.234950410666618,35.58856201171875,55.40717315673828,0.4490232765674591,0.5255247354507446,0.3742912741268382,0.14442550181875483,0.11244934211615631,0.007433786084846819,0.012954341449783857
12.png,sci,8.055766496324525,0.26637426018714905,6.284735679626465,0.42522555589675903,10.016006034619968,31.51043701171875,43.17897033691406,0.3351477086544037,0.4859442412853241,0.11954196107153799,0.11957345515717158,0.05456731721685205,0.011863077841652575,0.014294103356555699
