filename,method,brightness,contrast,entropy,colorfulness,sharpness,noise
10.png,clahe,0.11320854635799632,0.05292442838341904,5.6504316329956055,0.025149891134157724,0.002070748967729775,0.008139766520114848
10.png,gamma,0.13899829340916053,0.05552422553389776,5.678657531738281,0.05857661282936313,0.0015529298457764276,0.006610362241050657
10.png,log,0.3824148739085478,0.19182583108514925,7.482511520385742,0.19646329874177632,0.01760810596490997,0.02238239624401969
10.png,retinex,0.9012628293504902,0.12213300833353784,5.221931457519531,0.29209601383545536,0.06097315778896379,0.022847588881676834
10.png,hist_eq,0.5024343453201593,0.281502679857731,7.943683624267578,0.29030611057183797,0.04011722026270002,0.03372706298908107
100.png,clahe,0.08583565506280637,0.0806960682556163,4.925055980682373,0.013638129788161276,0.004019810305962032,0.008131411894983061
100.png,gamma,0.08905113070618872,0.0892328781011407,5.470863342285156,0.023884799048944937,0.0034488999502005047,0.008173464354612966
100.png,log,0.16879463943780637,0.2060488055646119,6.146542549133301,0.038795381750254744,0.017119283186646322,0.013074556633291087
100.png,retinex,0.6760579427083333,0.27719471668522155,7.135619163513184,0.4416842153646499,0.4925199177793289,0.11454787814617584
100.png,hist_eq,0.4280762317133885,0.30152440607556596,6.611659049987793,0.1992579208662522,0.10957492771511199,0.057119810206105
101.png,clahe,0.13085213455499387,0.1322965071815719,5.9949235916137695,0.023415019197178543,0.0076426874146994055,0.008985894512185164
101.png,gamma,0.14627673579197303,0.13598721811668993,6.36388635635376,0.03758197764177667,0.006452042501658253,0.007789176992548139
101.png,log,0.09308028875612745,0.127498295646734,5.719460487365723,0.027048677619900215,0.005033299551957338,0.005238934019569581
101.png,retinex,0.8051264744178922,0.14521863234553525,6.0091729164123535,0.2503805148891355,0.16114798454333618,0.04916696890056488
101.png,hist_eq,0.4959078321269914,0.2835701744746996,7.710988998413086,0.11440808901396887,0.05429664667249972,0.030640803519805384
102.png,clahe,0.12901138604856005,0.1332608192944215,5.970415115356445,0.022474026358231765,0.007630408865634907,0.008574130844975674
102.png,gamma,0.14197650984221813,0.1386573755999417,6.372819900512695,0.0344556380655782,0.006715679859032841,0.00795136845369319
102.png,log,0.0907171511182598,0.128867598974012,5.640290260314941,0.024998704078644556,0.005135226432647254,0.005188476146813166
102.png,retinex,0.7835878858379289,0.15555092260591438,6.318168640136719,0.3290336035591474,0.15642542572134174,0.04834869812359963
102.png,hist_eq,0.4891034892961091,0.28582288352515733,7.4893951416015625,0.1341240747942109,0.05237208315038818,0.02984873934811675
103.png,clahe,0.05808225145526961,0.07263865768601918,4.147236347198486,0.014396588866058909,0.002560849523842077,0.007719622833776212
103.png,gamma,0.0563809263939951,0.0812509223195732,5.02975606918335,0.02904165115022229,0.0032865967169247914,0.008677332050250997
103.png,log,0.0477871763939951,0.10982938337133372,4.587087631225586,0.024033206417722084,0.004003973723772694,0.006135646854383115
103.png,retinex,0.5626379873238357,0.2679466744823692,7.108628273010254,0.4012162115921977,0.43248446253948314,0.11345659650358192
103.png,hist_eq,0.39708796482460174,0.3118912063759757,6.142407417297363,0.24362579877687573,0.16198361572966707,0.07381626189500848
104.png,clahe,0.05901740579044118,0.07299340900259672,4.163101673126221,0.014288675710570969,0.00258019538701185,0.0076189864222343555
104.png,gamma,0.05737478218826593,0.08165046958461734,5.0629096031188965,0.028889149736551822,0.003278994616067344,0.008585380385806621
104.png,log,0.04882034600949755,0.11002761195800527,4.62798547744751,0.024041843334602943,0.004034971393378411,0.0061411319578131025
104.png,retinex,0.563810759899663,0.2686207238886035,7.1088457107543945,0.3994328466948516,0.42703638693074647,0.1115573032589566
104.png,hist_eq,0.3958796482460172,0.31227050562234565,6.153707027435303,0.23816435593388624,0.1539307251850466,0.07128757842578946
105.png,clahe,0.10924754423253677,0.06601837370224954,5.511499881744385,0.027685241303919163,0.0020925105720298685,0.00826897117868789
105.png,gamma,0.13097211052389707,0.057391524813219116,5.626238822937012,0.06258258711230137,0.0018538577876367772,0.007504205554162391
105.png,log,0.13857062844669119,0.08857840360983338,6.098747253417969,0.08731150717166973,0.0033992821612366343,0.01010335736605834
105.png,retinex,0.8792423023897059,0.049343421564763186,5.2570390701293945,0.1500032704038328,0.01171489406082033,0.0116319998252017
105.png,hist_eq,0.5211759081073836,0.26731877380499786,7.857975006103516,0.2838793603742854,0.07189681373091156,0.04611651496756829
106.png,clahe,0.10949934417126225,0.06688039532774656,5.5307464599609375,0.026839912121240095,0.002099253136517107,0.008243069301379614
106.png,gamma,0.1305258358226103,0.05788302424111035,5.641115188598633,0.057920503583368366,0.0018817769866816267,0.007513220423225566
106.png,log,0.1798174689797794,0.11592310628598232,6.479801177978516,0.10857128974630975,0.005753206655308633,0.012981411450970742
106.png,retinex,0.8949697457107844,0.0547151263228005,5.224607944488525,0.08278505491624111,0.01711535762455164,0.011251394592754222
106.png,hist_eq,0.5217746510225184,0.26680592532560476,7.864919662475586,0.27787256021468976,0.07107107034873293,0.04541960210399152
