variant,description,lpips_mean,lpips_std,niqe_mean,niqe_std,delta_lpips,delta_niqe,n
manuscript,"BT.601 luminance, 256-bin entropy, default Laplacian, 256x256",0.7573800978671112,0.01812943052533568,0.4186061404007081,0.04515057502726649,0.0,0.0,2425
entropy_128_bins,128-bin entropy histogram,0.7484665140333726,0.02049778031602064,0.4172183074972161,0.05248479821310284,-0.008913583833738636,-0.0013878329034919812,2425
entropy_64_bins,64-bin entropy histogram,0.7494062601372644,0.015597690973247912,0.4227403441491705,0.033380544957824373,-0.007973837729846833,0.004134203748462406,2425
bt709_luminance,BT.709 luminance coefficients,0.7599395586161757,0.016049835921396065,0.4268901130618241,0.0495397906365931,0.002559460749064435,0.008283972661116024,2425
laplacian_5x5,larger 5x5 Laplacian aperture for sharpness,0.7297548212805041,0.02404510486091613,0.4090933224875209,0.04846294407050329,-0.027625276586607184,-0.0095128179131872,2425
resize_224,features computed after resizing enhanced image to 224x224,0.7114524928006296,0.02801534939800564,0.38658001248135254,0.04356910409829716,-0.045927605066481636,-0.03202612791935555,2425
